Trabajos,Tiempo_s
100,0.000288
100,0.000312
100,0.000276
100,0.00027
100,0.00027
100,0.000264
100,0.000278
100,0.000273
100,0.000273
100,0.000273
100,0.000272
100,0.000287
100,0.000276
100,0.000273
100,0.000272
100,0.00027
100,0.000271
100,0.000276
100,0.000284
100,0.000265
100,0.000266
100,0.00027
100,0.000273
100,0.000283
100,0.000272
100,0.00027
100,0.000267
100,0.000272
100,0.000271
100,0.000269
100,0.000269
100,0.00028
100,0.000274
100,0.00027
100,0.00027
100,0.000272
100,0.000268
100,0.00027
100,0.00027
100,0.000266
100,0.000271
100,0.000268
100,0.000269
100,0.000272
100,0.000283
100,0.000269
100,0.000272
100,0.00027
100,0.000268
100,0.000271
100,0.000268
100,0.000268
100,0.000263
100,0.00027
100,0.000269
100,0.000273
100,0.000268
100,0.000269
100,0.000269
100,0.000295
100,0.000268
100,0.000268
100,0.000282
100,0.000285
100,0.000281
100,0.000271
100,0.000283
100,0.000271
100,0.000273
100,0.000273
100,0.00027
100,0.000275
100,0.000267
100,0.000279
100,0.000272
100,0.000272
100,0.000274
100,0.000269
100,0.000272
100,0.000274
100,0.000272
100,0.000269
100,0.000267
100,0.000272
100,0.00027
100,0.000271
100,0.000272
100,0.000274
100,0.000271
100,0.00027
100,0.000271
100,0.000267
100,0.000282
100,0.000273
100,0.000271
100,0.000272
100,0.00027
100,0.00027
100,0.000263
100,0.000275
