nodos,ejes,prim,master
4,4,8.89e-06,5.125e-06
5,5,4.815e-06,4.173e-06
6,6,4.67e-06,4.707e-06
7,7,7.168e-06,5.275e-06
8,8,7.24e-06,5.757e-06
9,9,7.394e-06,6.408e-06
10,10,8.234e-06,6.919e-06
11,11,9.561e-06,7.831e-06
12,12,9.789e-06,8.047e-06
13,13,1.0849e-05,8.885e-06
14,14,1.2623e-05,9.522e-06
15,15,1.3034e-05,9.782e-06
16,16,1.3652e-05,1.0635e-05
17,17,1.5455e-05,1.1406e-05
18,18,1.5183e-05,1.1804e-05
19,19,1.5851e-05,1.241e-05
20,20,1.8254e-05,1.2618e-05
21,21,1.8161e-05,1.3553e-05
22,22,1.9911e-05,1.39e-05
23,23,2.152e-05,1.4679e-05
24,24,2.2695e-05,1.5181e-05
25,25,2.3313e-05,1.5379e-05
26,26,2.4324e-05,1.5889e-05
27,27,2.6602e-05,1.6336e-05
28,28,2.839e-05,1.7192e-05
29,29,2.8924e-05,1.7565e-05
30,30,3.0818e-05,1.8078e-05
31,31,3.3977e-05,1.8977e-05
32,32,3.6727e-05,2.0674e-05
33,33,3.6169e-05,2.0286e-05
34,34,3.7309e-05,2.0255e-05
35,35,4.0741e-05,2.062e-05
36,36,4.3719e-05,2.1891e-05
37,37,4.4188e-05,2.2258e-05
38,38,4.5839e-05,2.2467e-05
39,39,5.0021e-05,2.3637e-05
40,40,5.1336e-05,2.501e-05
41,41,5.063e-05,2.419e-05
42,42,5.3827e-05,2.83e-05
43,43,5.4342e-05,2.6662e-05
44,44,5.9018e-05,2.6758e-05
45,45,5.9607e-05,2.7275e-05
46,46,6.1042e-05,2.7763e-05
47,47,6.1692e-05,2.6571e-05
48,48,6.4938e-05,2.7168e-05
49,49,6.7459e-05,2.748e-05
50,50,7.2017e-05,2.9971e-05
51,51,7.2531e-05,3.0373e-05
52,52,8.386e-05,2.9747e-05
53,53,7.4172e-05,2.9893e-05
54,54,7.6607e-05,3.0458e-05
55,55,8.0042e-05,3.0269e-05
56,56,8.4414e-05,3.0924e-05
57,57,8.4112e-05,3.1843e-05
58,58,8.6109e-05,3.245e-05
59,59,8.8811e-05,3.3074e-05
60,60,9.2161e-05,3.402e-05
61,61,9.4041e-05,3.4605e-05
62,62,9.9243e-05,3.4511e-05
63,63,0.000104135,3.6773e-05
64,64,0.000106362,5.6244e-05
65,65,0.000106184,3.6421e-05
66,66,0.000106771,3.8493e-05
67,67,0.000110554,3.7183e-05
68,68,0.000112815,3.807e-05
69,69,0.000119115,3.7993e-05
70,70,0.000122325,3.9029e-05
71,71,0.000122615,3.9292e-05
72,72,0.000127525,3.9849e-05
73,73,0.000138555,5.2829e-05
74,74,0.000132414,4.1311e-05
