nodos,ejes,prim,master
4,4,8.875e-06,5.156e-06
5,5,4.698e-06,4.08e-06
6,6,4.451e-06,4.888e-06
7,7,7.095e-06,5.22e-06
8,8,7.307e-06,5.805e-06
9,9,7.394e-06,6.281e-06
10,10,7.769e-06,6.888e-06
11,11,9.664e-06,7.85e-06
12,12,9.427e-06,8.115e-06
13,13,1.0832e-05,8.957e-06
14,14,1.2083e-05,9.497e-06
15,15,1.3086e-05,9.833e-06
16,16,1.3717e-05,1.0572e-05
17,17,1.5112e-05,1.1687e-05
18,18,1.5249e-05,1.1762e-05
19,19,1.5833e-05,1.2398e-05
20,20,1.8037e-05,1.2629e-05
21,21,1.795e-05,1.363e-05
22,22,1.936e-05,1.4001e-05
23,23,2.1213e-05,1.4614e-05
24,24,2.2769e-05,1.4983e-05
25,25,2.2957e-05,1.5594e-05
26,26,2.4022e-05,1.6093e-05
27,27,2.6279e-05,1.6783e-05
28,28,2.8211e-05,1.6987e-05
29,29,2.8643e-05,1.75e-05
30,30,3.0723e-05,1.7889e-05
31,31,3.3602e-05,1.9209e-05
32,32,3.5974e-05,2.0893e-05
33,33,3.5895e-05,2.0469e-05
34,34,3.7012e-05,2.0418e-05
35,35,4.0394e-05,2.1105e-05
36,36,4.3566e-05,2.1938e-05
37,37,4.3937e-05,2.2098e-05
38,38,4.5415e-05,2.2594e-05
39,39,4.9437e-05,2.3753e-05
40,40,5.0953e-05,2.5186e-05
41,41,4.9894e-05,2.5512e-05
42,42,5.4131e-05,2.8494e-05
43,43,5.3829e-05,2.6876e-05
44,44,5.9316e-05,2.6644e-05
45,45,5.9174e-05,2.7325e-05
46,46,6.0457e-05,2.8001e-05
47,47,6.4289e-05,2.8039e-05
48,48,6.775e-05,2.8335e-05
49,49,7.0149e-05,2.8696e-05
50,50,7.0846e-05,2.9657e-05
51,51,7.1893e-05,3.0449e-05
52,52,7.6717e-05,3.0977e-05
53,53,7.7937e-05,3.1278e-05
54,54,7.9067e-05,3.2049e-05
55,55,8.3758e-05,3.1769e-05
56,56,8.6935e-05,3.2565e-05
57,57,8.7639e-05,3.3456e-05
58,58,8.9968e-05,3.4512e-05
59,59,9.2725e-05,3.4308e-05
60,60,9.4928e-05,3.557e-05
61,61,9.8085e-05,3.6193e-05
62,62,0.000103726,3.6622e-05
63,63,0.000108605,3.8229e-05
64,64,0.000109878,3.7913e-05
65,65,0.000110721,3.8009e-05
66,66,0.000111693,3.8642e-05
67,67,0.000115697,3.9105e-05
68,68,0.000117466,3.9858e-05
69,69,0.000123965,4.0317e-05
70,70,0.000127631,4.1246e-05
71,71,0.000126845,4.1157e-05
72,72,0.000132171,4.1691e-05
73,73,0.000137976,4.4022e-05
74,74,0.000138007,4.4084e-05
75,75,0.000140901,4.405e-05
76,76,0.000145439,4.3571e-05
77,77,0.000149179,4.5568e-05
78,78,0.000156516,4.5137e-05
79,79,0.000156372,4.5455e-05
80,80,0.000158715,4.5957e-05
81,81,0.0001615,5.1322e-05
82,82,0.000172866,5.5191e-05
83,83,0.000175763,5.6417e-05
84,84,0.000176768,5.1458e-05
85,85,0.000178773,4.9325e-05
86,86,0.000179165,4.9111e-05
87,87,0.000188379,5.4402e-05
88,88,0.000205091,5.5171e-05
89,89,0.000197122,5.1169e-05
90,90,0.000199005,5.1514e-05
91,91,0.000204467,5.4159e-05
92,92,0.000204026,5.3418e-05
93,93,0.000211615,5.4496e-05
94,94,0.000209021,5.6758e-05
95,95,0.000215429,5.4698e-05
96,96,0.000214269,5.3894e-05
97,97,0.000223913,5.4118e-05
98,98,0.000227562,5.8048e-05
99,99,0.000229302,5.5868e-05
100,100,0.00023478,5.67e-05
101,101,0.000242617,5.7151e-05
102,102,0.000238816,5.7268e-05
103,103,0.000246065,5.7749e-05
104,104,0.000250146,5.8319e-05
105,105,0.000253365,5.859e-05
106,106,0.000259738,5.8334e-05
107,107,0.000267084,6.0394e-05
108,108,0.000267674,6.0575e-05
109,109,0.000272761,6.0424e-05
110,110,0.000277188,6.1799e-05
111,111,0.000284322,6.29e-05
112,112,0.000290853,6.3322e-05
113,113,0.000294784,6.2733e-05
114,114,0.000300813,6.3544e-05
115,115,0.000299737,6.5124e-05
116,116,0.000304393,6.4778e-05
117,117,0.000309956,6.6421e-05
118,118,0.000311413,6.6129e-05
119,119,0.000316765,6.7291e-05
120,120,0.00032212,6.6576e-05
121,121,0.000330188,6.7132e-05
122,122,0.000335276,6.8313e-05
123,123,0.000336826,6.9606e-05
124,124,0.000342104,6.9847e-05
125,125,0.000348505,7.0281e-05
126,126,0.000405741,9.037e-05
127,127,0.000366352,7.2757e-05
128,128,0.000366044,7.2101e-05
129,129,0.000379594,7.6459e-05
130,130,0.000396383,7.2663e-05
131,131,0.000378913,7.3078e-05
132,132,0.000391341,7.2111e-05
133,133,0.000394405,7.2159e-05
134,134,0.000404155,7.3495e-05
135,135,0.000407693,7.5901e-05
136,136,0.000407922,8.4837e-05
137,137,0.000414258,7.7932e-05
138,138,0.000446201,9.4876e-05
139,139,0.000441198,7.9869e-05
140,140,0.000427773,7.9109e-05
141,141,0.000442057,7.9532e-05
142,142,0.000447869,7.9868e-05
143,143,0.000447184,8.1129e-05
144,144,0.000456025,7.9235e-05
145,145,0.000462294,7.9211e-05
146,146,0.000465989,8.1358e-05
147,147,0.000470154,8.2148e-05
148,148,0.000478385,8.1976e-05
149,149,0.000506991,8.7384e-05
150,150,0.000490331,8.5763e-05
151,151,0.000502666,8.4821e-05
152,152,0.000499621,8.6247e-05
153,153,0.000504088,8.5194e-05
154,154,0.000518481,8.9276e-05
155,155,0.000520762,8.6837e-05
156,156,0.000528518,8.8339e-05
157,157,0.000532724,8.8516e-05
158,158,0.000544295,9.0064e-05
159,159,0.000541973,9.0103e-05
160,160,0.000557163,8.8819e-05
161,161,0.000556019,9.041e-05
162,162,0.000565034,8.9763e-05
163,163,0.000570916,9.0258e-05
164,164,0.000586313,9.4678e-05
165,165,0.000583623,9.1008e-05
166,166,0.000594494,9.1505e-05
167,167,0.000596036,9.2676e-05
168,168,0.000599932,9.3723e-05
169,169,0.000619601,9.44e-05
170,170,0.000619377,9.4071e-05
171,171,0.000619462,9.4922e-05
172,172,0.000631988,9.345e-05
173,173,0.000635241,9.6529e-05
174,174,0.000655352,9.6523e-05
175,175,0.000646401,9.748e-05
176,176,0.000652675,0.000101957
177,177,0.000676804,9.8429e-05
178,178,0.000678717,9.7094e-05
179,179,0.000687208,9.8306e-05
180,180,0.000695517,0.000101456
181,181,0.000715465,0.000134027
182,182,0.000714495,0.0001158
183,183,0.000718892,0.000109598
184,184,0.000717085,0.000103889
185,185,0.000729491,0.000103591
186,186,0.000734208,0.000101797
187,187,0.000760262,0.000108676
188,188,0.000755116,0.000107963
189,189,0.000755941,0.000104473
190,190,0.000766093,0.000108174
191,191,0.00076248,0.000106809
192,192,0.000771967,0.000106486
193,193,0.000792451,0.000111756
194,194,0.000793168,0.000108645
195,195,0.000817225,0.000118667
196,196,0.000808902,0.000110303
197,197,0.000813231,0.000108558
198,198,0.000823866,0.000107471
199,199,0.000824989,0.000112031
200,200,0.000832222,0.000110316
201,201,0.000845685,0.000110458
202,202,0.000883674,0.000112927
203,203,0.00085384,0.000114118
204,204,0.000877726,0.000115828
205,205,0.000889217,0.000114086
206,206,0.000887422,0.000120469
207,207,0.000896706,0.000114177
208,208,0.000906899,0.000120572
209,209,0.000915816,0.000115493
210,210,0.000932388,0.000119936
211,211,0.000937852,0.000117926
212,212,0.000938942,0.000116275
213,213,0.000947538,0.000121601
214,214,0.000951695,0.000122347
215,215,0.000952749,0.000119459
216,216,0.000965138,0.000120749
217,217,0.000983142,0.000122748
218,218,0.000985,0.000120117
219,219,0.000991189,0.000121684
220,220,0.000998248,0.000121321
221,221,0.00101622,0.000123508
222,222,0.00101171,0.000124052
223,223,0.00102668,0.000125127
224,224,0.00103969,0.00012394
225,225,0.00103723,0.000123829
226,226,0.00105982,0.00012273
227,227,0.00107277,0.000126675
228,228,0.00107157,0.000124981
229,229,0.00108717,0.000128356
230,230,0.00111817,0.000128229
231,231,0.00109951,0.000127014
232,232,0.00109992,0.000127004
233,233,0.00110954,0.000128201
234,234,0.00111914,0.000127693
235,235,0.00113044,0.000128827
236,236,0.00121378,0.000136092
237,237,0.00115198,0.000130794
238,238,0.00115996,0.000128736
239,239,0.00121344,0.000131367
240,240,0.00117322,0.000132378
241,241,0.00119574,0.000137403
242,242,0.00119299,0.000133398
243,243,0.00120057,0.000134683
244,244,0.00122646,0.00013721
245,245,0.00124128,0.000138232
246,246,0.00125593,0.000137653
247,247,0.0012923,0.000143971
248,248,0.001264,0.000134069
249,249,0.00126789,0.000134402
250,250,0.00126716,0.000138226
251,251,0.00133874,0.000138746
252,252,0.00131176,0.000138956
253,253,0.00131624,0.000141489
254,254,0.00133044,0.000142949
255,255,0.00132979,0.000138513
256,256,0.0013329,0.000140933
257,257,0.00135282,0.000137465
258,258,0.00135562,0.000139416
259,259,0.0013825,0.00014727
260,260,0.00137046,0.000142682
261,261,0.00139284,0.000155357
262,262,0.00141917,0.000144874
263,263,0.00141675,0.000142361
264,264,0.0014092,0.000148656
265,265,0.0014317,0.000144796
266,266,0.00144768,0.000149171
267,267,0.00143999,0.000146811
268,268,0.00145922,0.000146008
269,269,0.00147445,0.000143183
270,270,0.00148941,0.000145493
271,271,0.00148813,0.000145811
272,272,0.00148858,0.000149005
273,273,0.00150815,0.000151688
274,274,0.0015211,0.00014847
275,275,0.00153748,0.000152927
276,276,0.00154479,0.000156317
277,277,0.00154905,0.000149989
278,278,0.00158421,0.000153013
279,279,0.00158032,0.000153422
280,280,0.00159394,0.000148935
281,281,0.00160623,0.000153172
282,282,0.00161059,0.000156098
283,283,0.00162642,0.000154159
284,284,0.00162376,0.000153324
285,285,0.00168447,0.000157669
286,286,0.00165856,0.000153874
287,287,0.00165765,0.000157663
288,288,0.00170149,0.00016899
289,289,0.00169003,0.00015762
290,290,0.00169779,0.000159006
291,291,0.00170837,0.000161023
292,292,0.00172778,0.000159113
293,293,0.00171907,0.000160259
294,294,0.00173602,0.00016275
295,295,0.00173831,0.000160933
296,296,0.00176384,0.000163855
297,297,0.00176724,0.00016586
298,298,0.00178102,0.000160814
299,299,0.00180012,0.000165394
300,300,0.00182548,0.000169986
301,301,0.00183855,0.000168448
302,302,0.00185908,0.000167276
303,303,0.00186599,0.000164285
304,304,0.00187016,0.000162721
305,305,0.0018795,0.000165849
306,306,0.00187037,0.00016742
307,307,0.00188618,0.000167295
308,308,0.00189558,0.000168121
309,309,0.00190904,0.000168925
310,310,0.00192051,0.000169306
311,311,0.00193643,0.000171494
312,312,0.00196296,0.000174148
313,313,0.00195606,0.000170441
314,314,0.0019657,0.000169997
315,315,0.00198638,0.000172163
316,316,0.00199451,0.000172665
317,317,0.00200269,0.000172031
318,318,0.00201583,0.000173097
319,319,0.0020385,0.000171717
320,320,0.00206054,0.000179305
321,321,0.0020493,0.000177957
322,322,0.00211026,0.000175961
323,323,0.00208333,0.000176035
324,324,0.00208859,0.000176677
325,325,0.00216634,0.000183891
326,326,0.00212574,0.000175844
327,327,0.00214459,0.000176691
328,328,0.00213985,0.000179506
329,329,0.0021604,0.000182055
330,330,0.00217646,0.000183184
331,331,0.00220102,0.000185165
332,332,0.00221515,0.000188864
333,333,0.00221886,0.000172144
334,334,0.00219238,0.000185282
335,335,0.00222427,0.000183667
336,336,0.00224793,0.000179867
337,337,0.00226354,0.000180546
338,338,0.00226259,0.000183422
339,339,0.00230087,0.000189728
340,340,0.0022953,0.000186196
341,341,0.0023402,0.000195508
342,342,0.00232231,0.000186311
343,343,0.00232776,0.000186858
344,344,0.00234972,0.000185553
345,345,0.00237274,0.000187248
346,346,0.0023741,0.000188912
347,347,0.00233693,0.000179387
348,348,0.00233377,0.000180947
349,349,0.0023016,0.00019597
350,350,0.0024381,0.000201456
351,351,0.00235762,0.00017849
352,352,0.00244276,0.00019788
353,353,0.00236484,0.000182436
354,354,0.00240582,0.000181092
355,355,0.0024889,0.000199597
356,356,0.00245846,0.000181615
357,357,0.00240948,0.000181941
358,358,0.0025013,0.000198759
359,359,0.0025507,0.000195023
360,360,0.00256432,0.000195987
361,361,0.00245332,0.000186229
362,362,0.00249824,0.000187339
363,363,0.00250539,0.000188079
364,364,0.00252091,0.000188154
365,365,0.00258988,0.00018923
366,366,0.00260604,0.000202694
367,367,0.00267118,0.000199176
368,368,0.00267298,0.000198628
369,369,0.00256822,0.000191761
370,370,0.00263306,0.000201435
371,371,0.00270572,0.000202815
372,372,0.00272326,0.000211245
373,373,0.00275305,0.00020211
374,374,0.00275916,0.000207055
375,375,0.00270963,0.000197324
376,376,0.00273824,0.000205011
377,377,0.00282703,0.000204213
378,378,0.00286002,0.000220006
379,379,0.00271172,0.000224466
380,380,0.00278476,0.000205776
381,381,0.00272469,0.000196213
382,382,0.0028135,0.000200703
383,383,0.00294934,0.000207605
384,384,0.00288629,0.00023076
385,385,0.00283817,0.000199377
386,386,0.00283201,0.000199008
387,387,0.002936,0.000207988
388,388,0.00290835,0.00022178
