nodos,ejes,prim,master
4,4,8.489e-06,5.517e-06
5,5,5.231e-06,4.251e-06
6,6,4.943e-06,4.703e-06
7,7,5.448e-06,5.271e-06
8,8,6.69e-06,5.631e-06
9,9,7.523e-06,6.288e-06
10,10,8.239e-06,6.897e-06
11,11,8.904e-06,7.502e-06
12,12,9.401e-06,8.087e-06
13,13,1.0243e-05,8.612e-06
14,14,1.32e-05,9.523e-06
15,15,1.3443e-05,1.0008e-05
16,16,1.3078e-05,1.0309e-05
17,17,1.3983e-05,1.0861e-05
18,18,1.6442e-05,1.2388e-05
19,19,1.6597e-05,1.1991e-05
20,20,1.8792e-05,1.2993e-05
21,21,2.0218e-05,1.3462e-05
22,22,2.0451e-05,1.4231e-05
23,23,2.2059e-05,1.4626e-05
24,24,2.3049e-05,1.5503e-05
25,25,2.48e-05,1.5755e-05
26,26,2.7457e-05,1.591e-05
27,27,2.6893e-05,1.6703e-05
28,28,2.8977e-05,1.7156e-05
29,29,2.9984e-05,1.8102e-05
30,30,3.134e-05,1.8201e-05
31,31,3.5153e-05,1.9018e-05
32,32,3.6432e-05,1.9648e-05
33,33,3.8071e-05,2.0311e-05
34,34,4.0939e-05,2.4356e-05
35,35,4.329e-05,2.1717e-05
36,36,4.1868e-05,2.1267e-05
37,37,4.4398e-05,2.1838e-05
38,38,4.4866e-05,2.2655e-05
39,39,5.0554e-05,2.3441e-05
40,40,4.7937e-05,2.4927e-05
41,41,5.9134e-05,2.4763e-05
42,42,5.8412e-05,3.4074e-05
43,43,6.6604e-05,3.0278e-05
44,44,5.6381e-05,2.7035e-05
45,45,6.0789e-05,2.8073e-05
46,46,6.3515e-05,2.7683e-05
47,47,6.7016e-05,2.9248e-05
48,48,6.619e-05,2.8778e-05
49,49,7.1262e-05,3.0054e-05
50,50,7.1762e-05,3.3183e-05
51,51,7.4074e-05,3.1571e-05
52,52,7.6045e-05,3.1871e-05
53,53,7.7833e-05,3.2358e-05
54,54,8.0809e-05,3.2439e-05
55,55,8.5438e-05,3.3023e-05
56,56,9.028e-05,3.4741e-05
57,57,8.9704e-05,3.3796e-05
58,58,9.3227e-05,3.3825e-05
59,59,9.5537e-05,3.5655e-05
60,60,9.6301e-05,3.5446e-05
61,61,9.8815e-05,3.6374e-05
62,62,0.00010221,3.6467e-05
63,63,0.000104449,3.7045e-05
64,64,0.000106953,3.7897e-05
65,65,0.000108177,3.8567e-05
66,66,0.000111568,3.9217e-05
67,67,0.000115291,4.0422e-05
68,68,0.000121129,4.0655e-05
69,69,0.000123165,4.0816e-05
70,70,0.000123364,4.1196e-05
71,71,0.000131236,4.1588e-05
72,72,0.000134571,4.14e-05
73,73,0.000137885,4.1985e-05
74,74,0.000138404,4.3343e-05
75,75,0.000141288,4.4056e-05
76,76,0.000150079,4.545e-05
77,77,0.000149678,4.5654e-05
78,78,0.000152378,4.561e-05
79,79,0.000156366,4.5989e-05
80,80,0.000159088,4.6667e-05
81,81,0.000159749,4.7761e-05
82,82,0.000170433,4.7931e-05
83,83,0.000169696,4.7789e-05
84,84,0.000171737,4.922e-05
85,85,0.000179984,5.0395e-05
86,86,0.000182395,5.0408e-05
87,87,0.000182589,4.9046e-05
88,88,0.000193675,5.1047e-05
89,89,0.000188264,5.029e-05
90,90,0.000192884,5.0901e-05
91,91,0.000198183,5.1909e-05
92,92,0.000200258,5.1486e-05
93,93,0.000206095,5.2875e-05
94,94,0.000210888,5.5157e-05
95,95,0.000216908,5.5895e-05
96,96,0.000220299,5.3989e-05
97,97,0.000226414,5.4953e-05
98,98,0.000223317,5.5212e-05
99,99,0.00023134,5.544e-05
100,100,0.000237905,5.9493e-05
101,101,0.000235728,5.7453e-05
102,102,0.000244962,6.0262e-05
103,103,0.000245378,5.8211e-05
104,104,0.000258141,6.0204e-05
105,105,0.000256359,5.881e-05
106,106,0.000262262,5.9027e-05
107,107,0.000261588,5.9917e-05
108,108,0.000267668,6.0414e-05
109,109,0.000278182,5.9696e-05
110,110,0.000276964,6.2237e-05
111,111,0.000285896,6.2505e-05
112,112,0.000297871,6.5185e-05
113,113,0.000293837,6.4074e-05
114,114,0.0002984,6.4564e-05
115,115,0.000300314,6.43e-05
116,116,0.000307293,6.3329e-05
117,117,0.000306931,6.5141e-05
118,118,0.000314153,6.614e-05
119,119,0.000318622,6.5934e-05
120,120,0.000321947,6.7105e-05
121,121,0.000326243,6.7172e-05
122,122,0.000330711,6.7993e-05
123,123,0.000346057,6.8588e-05
124,124,0.000344623,6.9603e-05
125,125,0.000348148,6.9816e-05
126,126,0.000353397,7.0335e-05
127,127,0.000357656,7.2683e-05
128,128,0.000363687,7.1516e-05
129,129,0.000367639,7.1109e-05
130,130,0.000385998,7.2807e-05
131,131,0.000388473,7.3939e-05
132,132,0.000385715,8.5464e-05
133,133,0.000394458,7.3842e-05
134,134,0.000397644,7.3821e-05
135,135,0.000407179,7.5919e-05
136,136,0.000406,7.8322e-05
137,137,0.000454395,7.9701e-05
138,138,0.000420412,7.7689e-05
139,139,0.000433132,8.0426e-05
140,140,0.000430103,7.9145e-05
141,141,0.000438494,7.8603e-05
142,142,0.000449402,8.0629e-05
143,143,0.00044729,8.0888e-05
144,144,0.000468395,8.1087e-05
145,145,0.000456464,8.082e-05
146,146,0.000462088,8.2677e-05
147,147,0.000470805,8.1315e-05
148,148,0.000482929,8.108e-05
149,149,0.000487858,8.1705e-05
150,150,0.000489737,8.2998e-05
151,151,0.000499496,8.4633e-05
152,152,0.000499712,8.3801e-05
153,153,0.000502349,8.4982e-05
154,154,0.000511112,8.6396e-05
155,155,0.000526402,9.7349e-05
156,156,0.000526394,8.7277e-05
157,157,0.000530019,8.744e-05
158,158,0.000533363,8.7891e-05
159,159,0.000542597,8.7909e-05
160,160,0.000546581,8.9378e-05
161,161,0.000567816,9.1675e-05
162,162,0.00057299,8.9867e-05
163,163,0.00056831,9.2351e-05
164,164,0.000572838,9.1953e-05
165,165,0.000585951,9.1028e-05
166,166,0.00059848,9.26e-05
167,167,0.000600401,9.2351e-05
168,168,0.00060841,9.2829e-05
169,169,0.000607248,9.4232e-05
170,170,0.000622576,9.7043e-05
171,171,0.000621158,9.3939e-05
172,172,0.000631537,9.5037e-05
173,173,0.000635653,9.5891e-05
174,174,0.00064647,9.974e-05
175,175,0.000680081,0.000107504
176,176,0.000660732,0.000100043
177,177,0.000662689,0.000102945
178,178,0.000679458,0.000100446
179,179,0.000688483,0.000102493
180,180,0.000703057,0.000105218
181,181,0.000701194,0.000101196
182,182,0.000710017,0.000101366
183,183,0.000718719,0.000106126
184,184,0.000732852,0.000105075
185,185,0.00072485,0.000102328
186,186,0.000726268,0.000104099
187,187,0.000736497,0.000102431
188,188,0.000747799,0.000103404
189,189,0.000755401,0.000105098
190,190,0.000764528,0.000101711
191,191,0.000768129,0.000105339
192,192,0.000777639,0.000107688
193,193,0.000778253,0.000106854
194,194,0.000792001,0.000108373
195,195,0.000815355,0.000106136
196,196,0.000815593,0.000112355
197,197,0.000810003,0.000112044
198,198,0.000828347,0.000108167
199,199,0.000835523,0.000110768
200,200,0.000835834,0.000111853
201,201,0.000841255,0.00011174
202,202,0.000855786,0.000111042
203,203,0.00085823,0.000115474
204,204,0.000869323,0.000113438
205,205,0.000876024,0.000114868
206,206,0.000892913,0.000115361
207,207,0.000892328,0.000116844
208,208,0.000897779,0.00011594
209,209,0.000894366,0.000110715
210,210,0.000886405,0.000127235
211,211,0.000883053,0.000112237
212,212,0.000904613,0.000111105
213,213,0.00093845,0.000110287
214,214,0.000942028,0.000111796
215,215,0.000906195,0.000113147
216,216,0.000949018,0.000113955
217,217,0.00093592,0.000111673
218,218,0.00096881,0.000114429
219,219,0.000945244,0.000116544
220,220,0.00099605,0.000115459
