nodos,ejes,prim,master
4,4,8.957e-06,5.101e-06
5,5,4.92e-06,4.049e-06
6,6,4.989e-06,4.798e-06
7,7,6.109e-06,5.087e-06
8,8,6.722e-06,5.567e-06
9,9,7.293e-06,6.156e-06
10,10,7.861e-06,6.942e-06
11,11,9.564e-06,7.555e-06
12,12,1.0861e-05,8.406e-06
13,13,1.0841e-05,8.829e-06
14,14,1.1361e-05,9.091e-06
15,15,1.2071e-05,9.812e-06
16,16,1.2395e-05,1.0371e-05
17,17,1.3954e-05,1.1023e-05
18,18,1.4916e-05,1.1333e-05
19,19,1.7351e-05,1.185e-05
20,20,1.7628e-05,1.2997e-05
21,21,1.9049e-05,1.3709e-05
22,22,2.1375e-05,1.3591e-05
23,23,2.2644e-05,1.4869e-05
24,24,2.2635e-05,1.4907e-05
25,25,2.4672e-05,1.6023e-05
26,26,2.5586e-05,1.5897e-05
27,27,2.7943e-05,1.6339e-05
28,28,2.9444e-05,1.7427e-05
29,29,2.9777e-05,1.8187e-05
30,30,3.2645e-05,1.813e-05
31,31,3.4985e-05,1.9172e-05
32,32,3.5962e-05,3.1613e-05
33,33,3.671e-05,1.9963e-05
34,34,3.5199e-05,1.9526e-05
35,35,3.8972e-05,1.9811e-05
36,36,3.952e-05,2.056e-05
37,37,3.9934e-05,2.1487e-05
38,38,4.2297e-05,2.1218e-05
39,39,4.4515e-05,2.4763e-05
40,40,4.6911e-05,2.2525e-05
41,41,4.7087e-05,2.3503e-05
42,42,4.8497e-05,4.1327e-05
43,43,8.4063e-05,2.7925e-05
44,44,6.1213e-05,2.8027e-05
45,45,6.1106e-05,2.683e-05
46,46,7.0327e-05,2.8368e-05
47,47,6.8704e-05,2.8426e-05
48,48,7.1159e-05,2.9044e-05
49,49,7.0649e-05,2.8764e-05
50,50,7.2272e-05,2.9481e-05
51,51,7.6282e-05,3.1602e-05
52,52,7.5761e-05,3.1269e-05
53,53,7.6258e-05,3.1819e-05
54,54,8.1322e-05,3.1998e-05
55,55,8.5839e-05,3.3781e-05
56,56,8.6802e-05,3.68e-05
57,57,9.2484e-05,3.4876e-05
58,58,8.8648e-05,3.4042e-05
59,59,9.2496e-05,3.5383e-05
60,60,9.6345e-05,3.5705e-05
61,61,9.8221e-05,3.6283e-05
62,62,0.000103469,3.734e-05
63,63,0.000102981,3.7321e-05
64,64,0.000108903,3.7332e-05
65,65,0.000110096,3.8541e-05
66,66,0.000113372,4.2472e-05
67,67,0.000115391,3.9992e-05
68,68,0.000118558,4.062e-05
69,69,0.000126249,4.0895e-05
70,70,0.000122934,4.1346e-05
71,71,0.000133035,4.2103e-05
72,72,0.000132136,4.1517e-05
73,73,0.000137858,4.2986e-05
74,74,0.000140814,4.4645e-05
75,75,0.000140919,4.4034e-05
76,76,0.000146384,4.4059e-05
