nodos,ejes,prim,master
4,3,1.3762e-05,7.042e-06
5,5,6.737e-06,5.205e-06
6,7,8.936e-06,6.154e-06
7,8,7.551e-06,6.978e-06
8,12,1.249e-05,7.688e-06
9,16,1.1816e-05,8.232e-06
10,19,1.4756e-05,8.934e-06
11,27,2.4953e-05,9.868e-06
12,31,2.1193e-05,1.0814e-05
13,33,2.5117e-05,1.2059e-05
14,36,2.5985e-05,1.3272e-05
15,38,3.1337e-05,1.3816e-05
16,51,4.207e-05,1.4679e-05
17,57,3.7024e-05,1.4091e-05
18,63,5.1771e-05,1.601e-05
19,68,5.0736e-05,1.6638e-05
20,71,5.4988e-05,1.7663e-05
21,84,5.8959e-05,1.9067e-05
22,94,6.3949e-05,2.44e-05
23,99,7.0329e-05,2.5192e-05
24,109,6.5639e-05,2.2238e-05
25,115,7.3378e-05,2.6413e-05
26,137,7.6993e-05,2.8013e-05
27,139,8.4458e-05,2.8815e-05
28,142,9.7915e-05,3.0342e-05
29,162,0.000101992,2.6733e-05
30,161,0.000101239,2.6303e-05
31,185,0.000119223,2.9596e-05
32,189,0.000120676,3.0311e-05
33,199,0.000119321,2.8545e-05
34,207,0.000134362,2.6654e-05
35,218,0.000121153,3.187e-05
36,236,0.000138904,3.1584e-05
37,260,0.00015577,3.5322e-05
38,272,0.000157456,3.1365e-05
39,293,0.000159467,3.4495e-05
40,296,0.000170479,3.389e-05
41,307,0.00017387,3.5699e-05
42,333,0.000178979,3.8064e-05
43,329,0.000196956,3.6563e-05
44,354,0.000198144,3.8893e-05
45,378,0.000214503,3.8933e-05
46,388,0.000215833,4.051e-05
47,389,0.00022415,4.1334e-05
48,413,0.000235633,4.1899e-05
49,436,0.000244886,4.3514e-05
50,473,0.000227684,4.4792e-05
51,465,0.00025374,4.4756e-05
52,516,0.000276311,4.5539e-05
53,517,0.000284082,4.5379e-05
54,532,0.000270567,4.5802e-05
55,564,0.000283628,4.8315e-05
56,566,0.000289477,4.9319e-05
57,596,0.000297255,4.7465e-05
58,609,0.000318966,4.905e-05
59,635,0.000317229,5.1998e-05
60,659,0.000322006,5.2052e-05
61,674,0.000347583,4.9971e-05
62,695,0.000332817,5.3461e-05
63,710,0.00035247,5.5304e-05
