nodos,ejes,prim,master
4,4,3.109e-06,5.26e-06
5,5,2.644e-06,4.115e-06
6,6,3.105e-06,4.78e-06
7,7,3.829e-06,5.492e-06
8,8,4.357e-06,5.709e-06
9,9,4.919e-06,6.318e-06
10,10,5.871e-06,7.07e-06
11,11,6.775e-06,7.439e-06
12,12,7.73e-06,8.16e-06
13,13,9.025e-06,8.581e-06
14,14,1.0414e-05,9.563e-06
15,15,1.2037e-05,9.961e-06
16,16,1.3061e-05,1.0807e-05
17,17,1.4547e-05,1.1167e-05
18,18,1.5948e-05,1.1922e-05
19,19,1.844e-05,1.2337e-05
20,20,1.9331e-05,1.3162e-05
21,21,2.1453e-05,1.3733e-05
22,22,2.366e-05,1.4639e-05
23,23,2.5564e-05,1.4974e-05
24,24,2.7795e-05,1.5175e-05
25,25,3.0081e-05,1.5851e-05
26,26,3.2597e-05,1.6202e-05
27,27,3.4269e-05,1.6672e-05
28,28,3.7117e-05,1.7144e-05
29,29,4.0039e-05,1.8179e-05
30,30,4.2465e-05,1.8923e-05
31,31,4.5484e-05,1.8613e-05
32,32,4.8464e-05,1.944e-05
33,33,5.0929e-05,1.9831e-05
34,34,5.4243e-05,2.1345e-05
35,35,5.6851e-05,2.1216e-05
36,36,6.0171e-05,2.1573e-05
37,37,6.3303e-05,2.1655e-05
38,38,6.8971e-05,2.2509e-05
39,39,7.0866e-05,2.3042e-05
40,40,7.3055e-05,2.3214e-05
41,41,7.6646e-05,2.4543e-05
42,42,8.1438e-05,2.866e-05
43,43,8.5515e-05,2.7652e-05
44,44,8.8262e-05,2.8689e-05
45,45,9.3376e-05,2.8039e-05
46,46,9.7681e-05,2.9359e-05
47,47,0.000101978,2.9308e-05
48,48,0.000104409,2.8905e-05
49,49,0.000110056,2.9335e-05
50,50,0.000114289,3.0165e-05
51,51,0.00011828,3.0467e-05
52,52,0.000124471,3.1703e-05
53,53,0.000127269,3.1816e-05
54,54,0.000132758,3.2354e-05
55,55,0.0001369,3.283e-05
56,56,0.000144498,3.4443e-05
57,57,0.000146635,3.3039e-05
58,58,0.000152111,3.3931e-05
59,59,0.000157763,3.5245e-05
60,60,0.00016245,3.5474e-05
61,61,0.000169888,3.5969e-05
62,62,0.000173315,3.6163e-05
63,63,0.000179754,3.7738e-05
64,64,0.000184852,3.8028e-05
65,65,0.000189719,3.82e-05
66,66,0.000197682,3.856e-05
67,67,0.000203828,3.869e-05
68,68,0.000209279,4.1933e-05
69,69,0.000214157,4.1145e-05
70,70,0.000220978,4.1296e-05
71,71,0.00022788,4.2061e-05
72,72,0.00023389,4.3812e-05
73,73,0.000239752,4.4059e-05
74,74,0.000246621,5.8222e-05
75,75,0.000254781,5.6338e-05
76,76,0.000248346,4.3762e-05
77,77,0.000252939,4.3227e-05
78,78,0.000275611,4.5518e-05
79,79,0.000267262,4.4672e-05
80,80,0.000288844,4.7264e-05
81,81,0.000279907,6.0451e-05
82,82,0.000307484,4.7652e-05
83,83,0.000309892,4.8762e-05
84,84,0.00031786,6.0563e-05
85,85,0.000327346,4.9843e-05
86,86,0.000338554,4.6023e-05
87,87,0.000324552,4.6807e-05
88,88,0.000329594,6.2619e-05
89,89,0.000367297,4.9849e-05
90,90,0.00034683,4.8088e-05
91,91,0.000353579,4.9383e-05
92,92,0.000389454,5.0056e-05
93,93,0.000380876,5.1068e-05
94,94,0.000437189,5.0735e-05
95,95,0.000382741,5.2253e-05
96,96,0.000453222,5.0792e-05
97,97,0.000402145,5.2404e-05
98,98,0.000441855,5.278e-05
99,99,0.000431035,5.5702e-05
100,100,0.000444844,5.7676e-05
101,101,0.000453688,5.7087e-05
102,102,0.000463946,5.7443e-05
103,103,0.00047335,5.793e-05
104,104,0.000482401,6.0693e-05
105,105,0.000489057,5.884e-05
106,106,0.000497391,5.7006e-05
107,107,0.000482929,5.7794e-05
108,108,0.000494278,5.8806e-05
109,109,0.000503274,5.8249e-05
110,110,0.000513557,5.9692e-05
111,111,0.000519881,5.9961e-05
112,112,0.000559185,6.0199e-05
113,113,0.000542165,6.0174e-05
114,114,0.000551563,6.1191e-05
115,115,0.000574987,6.1217e-05
116,116,0.00056722,6.21e-05
117,117,0.00061616,6.2374e-05
118,118,0.000588694,6.3583e-05
119,119,0.000596991,6.272e-05
120,120,0.000606534,6.3291e-05
121,121,0.000662755,6.8778e-05
122,122,0.000659917,6.8262e-05
123,123,0.000672778,7.0727e-05
124,124,0.000679012,6.9159e-05
125,125,0.000691364,6.9412e-05
126,126,0.000704318,7.1328e-05
127,127,0.000711177,7.0738e-05
128,128,0.000726662,7.1879e-05
129,129,0.000733635,7.119e-05
130,130,0.000747473,7.3232e-05
131,131,0.000763073,8.1632e-05
132,132,0.000772272,7.399e-05
133,133,0.000803007,7.1434e-05
134,134,0.0007922,8.2776e-05
135,135,0.000769187,7.5351e-05
136,136,0.000795422,7.3394e-05
137,137,0.000821966,7.5656e-05
138,138,0.000865079,7.3856e-05
139,139,0.000815774,7.4066e-05
140,140,0.000827042,7.5838e-05
141,141,0.00089602,7.5564e-05
142,142,0.000848337,7.6737e-05
143,143,0.000859459,7.7425e-05
144,144,0.000903974,7.9634e-05
145,145,0.000918278,0.000106336
146,146,0.000962128,7.8607e-05
147,147,0.000907018,7.8608e-05
148,148,0.000950722,7.9884e-05
149,149,0.000988391,7.9649e-05
150,150,0.000943353,7.9548e-05
151,151,0.00101781,8.9635e-05
152,152,0.00102588,9.0481e-05
153,153,0.00103259,8.4843e-05
154,154,0.00104797,8.6856e-05
155,155,0.001062,8.8965e-05
156,156,0.00107233,8.8019e-05
157,157,0.0010875,8.7869e-05
158,158,0.00110138,9.1466e-05
159,159,0.00111484,9.0245e-05
160,160,0.00110118,8.5405e-05
161,161,0.00108832,8.7548e-05
162,162,0.00116271,8.5935e-05
163,163,0.00116827,8.5411e-05
164,164,0.00113869,8.7227e-05
165,165,0.00122089,0.000102942
166,166,0.00115687,8.7182e-05
167,167,0.00120469,0.000101941
168,168,0.0012149,0.000105529
169,169,0.00126657,9.0069e-05
170,170,0.00124153,8.8898e-05
171,171,0.0012899,9.1281e-05
172,172,0.00126721,9.1954e-05
173,173,0.00131464,0.000100522
174,174,0.001338,0.000101416
175,175,0.00134795,9.7909e-05
176,176,0.00135095,9.8509e-05
177,177,0.00137533,0.000102462
178,178,0.00139035,9.9358e-05
179,179,0.00142458,0.000102306
180,180,0.00142254,0.000102863
181,181,0.00143834,0.000100476
182,182,0.0014519,0.00010244
183,183,0.00147266,0.00010772
184,184,0.00148651,0.000103879
185,185,0.00150503,0.000103559
186,186,0.00151997,0.000103684
187,187,0.00157767,9.8777e-05
188,188,0.00147961,0.000101621
189,189,0.00155512,0.000100613
190,190,0.00154624,0.000100554
191,191,0.00161922,0.000110566
192,192,0.00161999,0.000108403
193,193,0.0016325,0.000108138
194,194,0.00165245,0.00010871
195,195,0.00166964,0.00011021
196,196,0.0017172,0.000109262
197,197,0.00170097,0.000109599
198,198,0.00171722,0.00011069
199,199,0.0017324,0.000110807
200,200,0.00175888,0.000111607
201,201,0.00170128,0.000106686
202,202,0.00178363,0.000113738
203,203,0.00173595,0.000104908
204,204,0.0017673,0.000108637
205,205,0.00179113,0.000108329
206,206,0.00186442,0.00011984
207,207,0.00188942,0.000111239
208,208,0.00187044,0.000110974
209,209,0.00185511,0.000111624
210,210,0.0019421,0.000127266
