nodos,ejes,prim,master
4,5,1.4274e-05,6.852e-06
5,9,8.893e-06,5.471e-06
6,14,1.1471e-05,6.513e-06
7,20,1.4177e-05,6.882e-06
8,27,1.5711e-05,7.05e-06
9,35,1.8486e-05,8.126e-06
10,44,2.031e-05,9.356e-06
11,54,2.6567e-05,9.945e-06
12,65,3.1189e-05,1.0872e-05
13,77,3.2137e-05,1.2117e-05
14,90,4.0847e-05,1.2527e-05
15,104,4.8883e-05,1.5994e-05
16,119,4.8646e-05,1.7301e-05
17,135,6.5171e-05,1.7053e-05
18,152,5.862e-05,2.0954e-05
19,170,6.6113e-05,2.1542e-05
20,189,7.1553e-05,1.9272e-05
21,209,7.5087e-05,1.9092e-05
22,230,8.4267e-05,1.9449e-05
23,252,9.6595e-05,2.1419e-05
24,275,9.8577e-05,2.0591e-05
25,299,0.000103691,2.2031e-05
26,324,0.000123249,2.2272e-05
27,350,0.000130488,2.5306e-05
28,377,0.000128209,2.4773e-05
29,405,0.000136871,2.5362e-05
30,434,0.000166972,2.7385e-05
31,464,0.000154939,2.7485e-05
32,495,0.000156549,2.883e-05
33,527,0.000168516,2.6706e-05
34,560,0.000169774,3.0378e-05
35,594,0.000180265,2.9213e-05
36,629,0.000188381,3.269e-05
37,665,0.000202719,3.1179e-05
38,702,0.000198896,3.4929e-05
39,740,0.000213229,3.3427e-05
40,779,0.000238088,3.5224e-05
41,819,0.000226531,3.7598e-05
42,860,0.0002632,3.8761e-05
43,902,0.000272146,3.8976e-05
44,945,0.000270366,3.9923e-05
45,989,0.000305962,4.1543e-05
46,1034,0.000271982,3.9689e-05
47,1080,0.000285259,4.0413e-05
48,1127,0.000308249,3.9937e-05
49,1175,0.000318036,4.465e-05
50,1224,0.000349445,4.324e-05
51,1274,0.000336002,4.5278e-05
52,1325,0.000348602,4.3813e-05
53,1377,0.000372958,4.8368e-05
54,1430,0.000403768,5.3794e-05
55,1484,0.000394017,4.89e-05
56,1539,0.000380866,4.7273e-05
57,1595,0.000419478,4.8795e-05
58,1652,0.000426839,4.8806e-05
59,1710,0.000431042,4.8789e-05
60,1769,0.000444119,5.3111e-05
61,1829,0.000481893,5.4116e-05
62,1890,0.000498445,5.4745e-05
63,1952,0.000477272,5.4439e-05
64,2015,0.000514349,5.2927e-05
65,2079,0.000508543,5.7882e-05
66,2144,0.000504042,5.3618e-05
67,2210,0.00053958,5.6469e-05
68,2277,0.00056293,5.9546e-05
69,2345,0.000540856,6.1452e-05
70,2414,0.000548149,6.0984e-05
71,2484,0.000593181,6.1174e-05
72,2555,0.000604276,6.4765e-05
73,2627,0.000627081,6.1711e-05
74,2700,0.000648328,6.2106e-05
75,2774,0.000635762,6.3761e-05
76,2849,0.000659854,6.7123e-05
77,2925,0.000640244,6.5282e-05
78,3002,0.000711141,6.8471e-05
79,3080,0.000692455,6.7924e-05
80,3159,0.000710827,6.867e-05
81,3239,0.000727477,6.9402e-05
82,3320,0.000749755,7.2753e-05
83,3402,0.000789422,8.0854e-05
84,3485,0.000770658,7.3549e-05
85,3569,0.000766529,7.1561e-05
86,3654,0.000822632,7.1122e-05
87,3740,0.000849429,7.1933e-05
88,3827,0.000853837,7.0351e-05
89,3915,0.000822292,7.2262e-05
90,4004,0.000852413,7.2409e-05
91,4094,0.000907448,7.536e-05
92,4185,0.000939242,7.8746e-05
93,4277,0.000905343,7.5078e-05
94,4370,0.000993533,7.6851e-05
95,4464,0.000939069,8.1493e-05
96,4559,0.00098507,7.6509e-05
97,4655,0.00103645,8.0096e-05
98,4752,0.00100039,7.9294e-05
99,4850,0.000985267,8.0451e-05
100,4949,0.00103988,8.2417e-05
101,5049,0.00107954,8.4001e-05
102,5150,0.00105035,8.4966e-05
103,5252,0.00106224,8.2698e-05
104,5355,0.00109373,8.204e-05
105,5459,0.00114116,8.3338e-05
106,5564,0.00112054,9.2253e-05
107,5670,0.00119136,9.5421e-05
108,5777,0.00120901,8.7555e-05
109,5885,0.00120012,9.1547e-05
110,5994,0.00122119,9.3212e-05
111,6104,0.0012998,9.1237e-05
112,6215,0.00124399,9.102e-05
113,6327,0.00127717,9.6668e-05
