nodos,ejes,prim,master
4,5,1.1579e-05,5.516e-06
5,9,8.943e-06,4.517e-06
6,14,7.244e-06,4.734e-06
7,20,1.2631e-05,5.545e-06
8,27,1.5489e-05,5.592e-06
9,35,1.4425e-05,6.489e-06
10,44,1.9678e-05,7.181e-06
11,54,2.2776e-05,7.756e-06
12,65,2.529e-05,8.583e-06
13,77,2.6718e-05,8.814e-06
14,90,3.0834e-05,9.551e-06
15,104,3.5092e-05,1.0777e-05
16,119,4.3216e-05,1.3563e-05
17,135,4.3739e-05,1.4118e-05
18,152,5.0497e-05,1.3687e-05
19,170,5.3776e-05,1.7362e-05
20,189,5.4643e-05,1.4803e-05
21,209,7.1544e-05,1.3632e-05
22,230,6.4888e-05,1.4736e-05
23,252,7.6173e-05,1.531e-05
24,275,7.9366e-05,1.6239e-05
25,299,9.182e-05,1.6716e-05
26,324,9.3611e-05,1.7894e-05
27,350,9.5147e-05,1.9217e-05
28,377,0.000102478,2.4749e-05
29,405,0.000104721,2.0668e-05
30,434,0.000122464,1.9197e-05
31,464,0.000125988,2.1426e-05
32,495,0.000134433,2.0184e-05
33,527,0.000134503,2.3675e-05
34,560,0.000139103,2.2137e-05
35,594,0.000138495,2.367e-05
36,629,0.000151636,2.3752e-05
37,665,0.000159457,2.4678e-05
38,702,0.000165194,2.3499e-05
39,740,0.000159261,2.6095e-05
40,779,0.00018009,2.7622e-05
41,819,0.000194725,2.757e-05
42,860,0.00019089,2.7125e-05
43,902,0.000206497,2.8277e-05
44,945,0.00021295,3.0042e-05
45,989,0.000209148,3.0619e-05
46,1034,0.000236448,3.2251e-05
47,1080,0.000244756,3.0881e-05
48,1127,0.000232755,3.2864e-05
49,1175,0.000249087,3.211e-05
50,1224,0.000261306,3.3975e-05
51,1274,0.000275308,3.4693e-05
52,1325,0.000285068,3.5797e-05
53,1377,0.000290491,3.623e-05
54,1430,0.000300205,3.5698e-05
55,1484,0.000281645,3.5092e-05
56,1539,0.00031352,3.6769e-05
57,1595,0.000323232,3.717e-05
58,1652,0.000329487,4.6737e-05
59,1710,0.00034806,4.09e-05
60,1769,0.000346635,4.0091e-05
61,1829,0.000356816,4.2155e-05
62,1890,0.000397437,4.024e-05
63,1952,0.000357442,4.291e-05
64,2015,0.000402336,4.5862e-05
65,2079,0.000393635,4.3811e-05
66,2144,0.000378884,4.2914e-05
67,2210,0.000404949,4.5063e-05
68,2277,0.000421011,4.3689e-05
69,2345,0.000425479,4.6035e-05
70,2414,0.000450121,4.5345e-05
71,2484,0.000465348,4.5393e-05
72,2555,0.00047159,4.8003e-05
73,2627,0.000503753,5.0274e-05
74,2700,0.000484038,5.0431e-05
75,2774,0.00049084,4.9719e-05
76,2849,0.000509683,5.063e-05
77,2925,0.00052112,5.1811e-05
78,3002,0.000533338,5.0832e-05
79,3080,0.000533463,5.3309e-05
80,3159,0.000566414,5.3733e-05
81,3239,0.000572656,5.2262e-05
82,3320,0.000554606,5.6337e-05
83,3402,0.000594748,5.6555e-05
84,3485,0.000603825,5.7609e-05
85,3569,0.000630227,5.5382e-05
86,3654,0.000776802,7.2085e-05
87,3740,0.000814838,7.148e-05
88,3827,0.000786624,7.357e-05
89,3915,0.000792293,7.1599e-05
90,4004,0.000889674,7.7736e-05
91,4094,0.000877249,7.1973e-05
92,4185,0.00094927,7.6946e-05
93,4277,0.000934667,7.7443e-05
94,4370,0.000927329,7.8077e-05
95,4464,0.000937434,7.9742e-05
96,4559,0.000985569,7.64e-05
97,4655,0.00099042,8.4317e-05
98,4752,0.000997146,7.8716e-05
99,4850,0.00104239,8.2547e-05
100,4949,0.00101475,8.398e-05
101,5049,0.00104703,8.5388e-05
102,5150,0.0011203,8.5241e-05
103,5252,0.00111683,8.5782e-05
104,5355,0.00112057,8.4142e-05
105,5459,0.00112945,8.4573e-05
106,5564,0.00118607,9.2261e-05
107,5670,0.0011462,9.0231e-05
108,5777,0.00118976,9.1419e-05
109,5885,0.000957486,6.5819e-05
110,5994,0.000929403,6.8982e-05
111,6104,0.000925537,6.7278e-05
112,6215,0.000982888,6.9356e-05
113,6327,0.000976592,6.7212e-05
114,6440,0.00101489,6.9655e-05
115,6554,0.00097986,7.1945e-05
116,6669,0.00102102,6.9931e-05
117,6785,0.00103995,7.4894e-05
118,6902,0.00105231,7.2498e-05
119,7020,0.00107361,7.2499e-05
120,7139,0.00110442,7.651e-05
121,7259,0.00110083,7.7139e-05
122,7380,0.00114305,7.4193e-05
123,7502,0.00114298,7.7567e-05
124,7625,0.00115323,9.1839e-05
125,7749,0.00114677,7.3147e-05
126,7874,0.00119236,8.2373e-05
127,8000,0.00119552,7.8683e-05
