nodos,ejes,prim,master
4,3,2.859e-06,4.485e-06
5,5,2.35e-06,4.065e-06
6,6,2.742e-06,4.672e-06
7,10,3.511e-06,5.258e-06
8,14,4.539e-06,5.413e-06
9,17,5.07e-06,6.279e-06
10,20,6.098e-06,6.822e-06
11,24,7.067e-06,7.403e-06
12,31,8.033e-06,7.978e-06
13,34,9.611e-06,8.417e-06
14,38,1.1035e-05,8.426e-06
15,44,1.2377e-05,9.255e-06
16,52,1.4181e-05,1.0903e-05
17,56,1.5632e-05,1.1096e-05
18,63,1.7031e-05,1.1624e-05
19,62,1.8459e-05,1.1695e-05
20,71,2.054e-05,1.2498e-05
21,82,2.2366e-05,1.28e-05
22,96,2.4437e-05,1.3777e-05
23,106,2.7025e-05,1.4784e-05
24,107,2.9998e-05,1.7966e-05
25,123,3.1304e-05,1.5538e-05
26,127,3.4182e-05,1.6302e-05
27,134,3.7637e-05,1.7308e-05
28,141,4.0192e-05,2.0509e-05
29,159,4.2145e-05,1.8179e-05
30,166,4.4717e-05,1.9021e-05
31,177,4.8206e-05,2.2303e-05
32,190,5.0923e-05,2.0313e-05
33,207,5.3893e-05,2.0198e-05
34,216,5.7324e-05,2.1155e-05
35,226,5.9152e-05,2.1835e-05
36,243,7.9318e-05,2.4225e-05
37,255,7.1242e-05,2.3923e-05
38,266,7.3951e-05,2.6596e-05
39,286,8.0105e-05,2.8032e-05
40,278,8.1499e-05,2.6951e-05
41,306,8.6604e-05,2.76e-05
42,317,8.922e-05,2.7159e-05
43,353,9.3614e-05,2.8443e-05
44,355,9.8451e-05,2.791e-05
45,366,0.000102801,2.9117e-05
46,379,0.000105889,3.0009e-05
47,392,0.000111725,3.0639e-05
48,423,0.000116812,3.0949e-05
49,442,0.000121087,3.0479e-05
50,444,0.000124016,3.2956e-05
51,464,0.000124004,2.9893e-05
52,499,0.000127816,3.0133e-05
53,498,0.000132507,3.2097e-05
54,518,0.000137757,3.2379e-05
55,556,0.000143428,3.2859e-05
56,582,0.000148164,3.3249e-05
57,600,0.000153057,3.3924e-05
58,603,0.000158853,3.5018e-05
59,616,0.000180161,3.6731e-05
60,657,0.00018297,3.5959e-05
61,653,0.000191744,3.9031e-05
62,699,0.000190648,4.0294e-05
63,723,0.000195974,3.9334e-05
64,735,0.00020245,4.421e-05
65,757,0.000303005,5.0502e-05
66,791,0.000280337,5.4747e-05
67,836,0.000209508,4.1499e-05
68,841,0.000235679,4.0059e-05
69,883,0.000221803,4.087e-05
70,889,0.000236284,4.1943e-05
71,908,0.000238719,4.2335e-05
72,957,0.000263714,4.4498e-05
73,945,0.000249555,4.1669e-05
74,985,0.000255202,3.9899e-05
75,1038,0.000263721,4.3596e-05
76,1035,0.0002674,4.3103e-05
77,1080,0.000275101,4.3528e-05
78,1086,0.000283085,4.3695e-05
79,1128,0.000289217,4.816e-05
80,1146,0.000295749,4.5906e-05
81,1212,0.000306376,4.7867e-05
82,1211,0.00031082,4.9644e-05
83,1247,0.000320426,4.8641e-05
84,1290,0.000341443,4.8781e-05
85,1319,0.000333893,4.9231e-05
86,1306,0.000341036,4.9727e-05
87,1359,0.000364666,4.871e-05
88,1402,0.00035946,5.1148e-05
89,1435,0.000365182,5.2751e-05
90,1457,0.000372771,5.175e-05
91,1484,0.000401714,5.6565e-05
92,1516,0.000411804,5.6973e-05
93,1530,0.000411797,5.3833e-05
94,1588,0.000406756,5.3826e-05
95,1623,0.000415114,5.2191e-05
96,1646,0.000423295,5.6287e-05
97,1696,0.000432795,5.8496e-05
98,1712,0.000498886,7.2091e-05
99,1745,0.000450061,7.2794e-05
100,1805,0.000460291,5.6947e-05
101,1841,0.000470126,5.681e-05
102,1873,0.000477696,5.7555e-05
103,1925,0.000488126,6.0874e-05
104,1916,0.00053138,5.8013e-05
105,1985,0.000506332,5.9851e-05
106,2020,0.000530923,7.3388e-05
107,2061,0.000557039,6.1838e-05
108,2100,0.000534968,6.258e-05
109,2123,0.000581021,6.5487e-05
110,2122,0.000567469,6.1567e-05
111,2206,0.000602621,6.5947e-05
112,2263,0.000575019,6.102e-05
113,2284,0.000584229,6.5135e-05
114,2304,0.000598441,6.4469e-05
115,2333,0.000642708,7.1184e-05
116,2377,0.000649596,7.2531e-05
117,2467,0.000656178,6.9838e-05
118,2501,0.000667483,7.1793e-05
119,2542,0.000687807,7.3425e-05
120,2604,0.000691755,7.5443e-05
121,2601,0.000782863,0.000110561
122,2666,0.000725442,7.1143e-05
123,2741,0.000707338,7.0447e-05
124,2711,0.000703454,6.8587e-05
125,2781,0.000714389,6.9299e-05
126,2830,0.00072536,7.4588e-05
127,2884,0.00074051,7.1166e-05
128,2946,0.000748407,7.0737e-05
129,3005,0.000840485,7.6376e-05
130,3041,0.000803083,7.2705e-05
131,3105,0.000820999,7.7332e-05
132,3117,0.000793186,7.5741e-05
133,3150,0.000806203,7.7764e-05
134,3210,0.000821699,7.5422e-05
135,3255,0.000831135,7.6041e-05
136,3290,0.000873029,7.5637e-05
137,3369,0.000905852,8.1995e-05
138,3371,0.000873558,8.0259e-05
139,3426,0.000879933,8.2037e-05
140,3520,0.000924541,8.0621e-05
141,3544,0.000917255,0.000114333
142,3589,0.000918132,8.0287e-05
143,3694,0.000933442,8.4377e-05
144,3666,0.000948233,8.1595e-05
145,3772,0.000993501,8.2599e-05
146,3763,0.000992403,8.9835e-05
147,3897,0.00104302,8.9112e-05
148,3872,0.00104621,8.9204e-05
149,3946,0.0010629,9.3437e-05
150,4034,0.00127363,9.9971e-05
151,4080,0.00104905,8.1889e-05
152,4107,0.00109232,8.8124e-05
153,4130,0.00106974,9.0694e-05
154,4211,0.00111076,8.5798e-05
155,4281,0.00113969,0.000118178
156,4362,0.00110633,8.2685e-05
157,4381,0.00112096,8.8906e-05
158,4435,0.0011662,8.8055e-05
159,4462,0.0011491,0.000106033
160,4548,0.00119532,9.2104e-05
161,4655,0.0012322,0.000109792
162,4657,0.00124993,8.9439e-05
163,4699,0.00124192,9.443e-05
164,4769,0.00122301,9.735e-05
165,4851,0.00124978,9.6442e-05
166,4881,0.00127318,9.3658e-05
167,4969,0.00126752,9.8453e-05
168,5022,0.00135074,0.000105918
169,5100,0.00136638,0.000103504
170,5069,0.0014024,0.000103123
171,5239,0.00155671,9.9762e-05
172,5257,0.00135168,9.2216e-05
173,5239,0.00135526,9.7346e-05
174,5347,0.00141101,0.000101398
175,5412,0.00145614,0.000101401
176,5577,0.00147382,0.000106579
177,5558,0.00149043,0.000104073
178,5643,0.00150877,0.000108494
179,5649,0.00152298,0.00010466
180,5786,0.00150241,0.000103817
181,5774,0.00148212,0.000104277
182,5857,0.00150008,0.000102105
183,5983,0.00155179,0.000102997
184,6046,0.00156547,9.978e-05
185,6076,0.00162423,0.000108656
186,6139,0.00164733,0.000114011
187,6192,0.00183189,0.000120936
188,6327,0.0016921,0.000107351
