nodos,ejes,prim,master
4,3,7.19e-06,8.182e-06
5,5,4.23e-06,6.43e-06
6,6,3.993e-06,6.627e-06
7,10,5.169e-06,7.291e-06
8,14,5.955e-06,7.496e-06
9,17,7.153e-06,8.722e-06
10,20,8.544e-06,9.556e-06
11,24,1.019e-05,1.0693e-05
12,31,1.1253e-05,1.115e-05
13,34,1.3951e-05,1.2144e-05
14,38,1.5578e-05,1.1755e-05
15,44,1.711e-05,1.3021e-05
16,52,1.956e-05,1.4927e-05
17,56,2.1132e-05,1.5269e-05
18,63,2.4243e-05,1.6018e-05
19,62,2.5497e-05,1.5963e-05
20,71,3.1294e-05,1.6988e-05
21,82,3.1669e-05,1.7944e-05
22,96,3.452e-05,1.8503e-05
23,106,3.7636e-05,2.1256e-05
24,107,4.14e-05,2.433e-05
25,123,4.3233e-05,2.1999e-05
26,127,4.6453e-05,2.3045e-05
27,134,5.0458e-05,2.5364e-05
28,141,5.4485e-05,2.7034e-05
29,159,5.7058e-05,2.5352e-05
30,166,6.2171e-05,2.6525e-05
31,177,6.6906e-05,2.9845e-05
32,190,7.0429e-05,2.9359e-05
33,207,7.5489e-05,2.8848e-05
34,216,7.8866e-05,2.949e-05
35,226,8.3244e-05,3.0807e-05
36,243,8.8501e-05,3.4136e-05
37,255,9.4183e-05,3.2663e-05
38,266,9.7709e-05,3.3673e-05
39,286,0.000101762,3.4438e-05
40,278,0.00010535,3.4868e-05
41,306,0.000114158,3.5443e-05
42,317,0.000116775,5.7068e-05
43,353,0.000122497,3.803e-05
44,355,0.000127313,3.7074e-05
45,366,0.000132788,3.8462e-05
46,379,0.000138059,3.981e-05
47,392,0.000146488,3.9901e-05
48,423,0.000152913,4.0563e-05
49,442,0.000158564,3.9746e-05
50,444,0.000162928,4.2969e-05
51,464,0.000172193,4.2134e-05
52,499,0.000176212,4.261e-05
53,498,0.000182017,4.4748e-05
54,518,0.000187657,4.4588e-05
55,556,0.000197605,4.5893e-05
56,582,0.000204271,4.7943e-05
57,600,0.000212249,4.8028e-05
58,603,0.00022294,4.8793e-05
59,616,0.00022806,4.8933e-05
60,657,0.000238459,4.8646e-05
61,653,0.000242469,5.2304e-05
62,699,0.000251716,5.4347e-05
63,723,0.000251123,4.9114e-05
64,735,0.000254807,5.101e-05
65,757,0.00027361,5.1244e-05
66,791,0.000296212,5.5581e-05
67,836,0.000293207,6.3124e-05
68,841,0.000301217,6.1654e-05
69,883,0.000300138,5.4696e-05
70,889,0.000311976,5.8332e-05
71,908,0.000332813,5.9372e-05
72,957,0.000421445,6.2235e-05
73,945,0.000353372,6.0037e-05
74,985,0.000355128,6.0985e-05
75,1038,0.000360774,5.9967e-05
76,1035,0.000372492,6.8369e-05
77,1080,0.000382832,6.2116e-05
78,1086,0.000381609,6.2393e-05
79,1128,0.000400993,7.0166e-05
80,1146,0.000408827,6.4723e-05
81,1212,0.0004242,6.9181e-05
82,1211,0.000426914,6.9096e-05
83,1247,0.000448581,9.3832e-05
84,1290,0.000453515,6.7516e-05
85,1319,0.000463375,7.0006e-05
86,1306,0.000471672,7.1173e-05
87,1359,0.000482663,6.7458e-05
88,1402,0.000493865,7.3687e-05
89,1435,0.000526975,7.7368e-05
90,1457,0.000516789,6.9927e-05
91,1484,0.000525829,7.5951e-05
92,1516,0.000541979,7.6804e-05
93,1530,0.000550682,7.4005e-05
94,1588,0.000561522,7.6793e-05
95,1623,0.000563395,7.4846e-05
96,1646,0.000583144,8.0013e-05
97,1696,0.000596599,8.2133e-05
98,1712,0.000609091,8.2587e-05
99,1745,0.000622732,8.234e-05
100,1805,0.000635115,8.0385e-05
101,1841,0.000650829,8.0643e-05
102,1873,0.000654161,8.2939e-05
103,1925,0.000676333,8.7088e-05
104,1916,0.00069716,8.3784e-05
105,1985,0.000695102,8.6315e-05
106,2020,0.000718618,8.3476e-05
107,2061,0.000722208,8.7716e-05
108,2100,0.000747102,9.1132e-05
109,2123,0.00075071,9.3198e-05
110,2122,0.000768064,8.5337e-05
111,2206,0.000792716,9.9382e-05
112,2263,0.000796833,8.8956e-05
113,2284,0.000814824,0.000103226
114,2304,0.000824896,9.3424e-05
115,2333,0.000871774,9.6103e-05
116,2377,0.00086585,9.7199e-05
117,2467,0.00086053,9.7226e-05
118,2501,0.00087795,0.000100744
119,2542,0.000895026,9.8797e-05
120,2604,0.000911506,9.9745e-05
121,2601,0.000918595,9.3572e-05
122,2666,0.000940862,9.7995e-05
123,2741,0.000961752,0.00010946
124,2711,0.000966346,9.8659e-05
125,2781,0.000992739,0.000101558
126,2830,0.00100112,0.000108483
127,2884,0.00101188,0.000101169
128,2946,0.00104348,0.000100522
129,3005,0.00104616,0.000108932
130,3041,0.00106577,0.000105122
131,3105,0.00107798,0.000112901
132,3117,0.00109564,0.000109209
